term,course_code,course_name,instructor,location,class_size,meetings_per_week,assessment_structure,has_midterm,has_final,avg_score,q1,median,q3,min_score,max_score,grade_A_pct,grade_B_pct,grade_C_pct,grade_D_pct,grade_F_pct,notes
2026Spring,UG400,Environmental Statistics,Luca Moretti,"Building K, Room 210",200,3,"Homework 30%, Midterm 30%, Final 40%",yes,yes,70,62,70,78,28,97,0.22,0.30,0.28,0.12,0.08,Applied statistics course for environmental studies. Fictional and consistent data.
2026Spring,UG201,Statistical Mechanics II,Lian Zhou,"Tower B, Room 501",300,3,"Midterm 30%, Final 50%, Labs 20%",yes,yes,52,45,52,60,10,95,0.05,0.20,0.35,0.25,0.15,Course is rigorous with low average scores. Entry is synthetic and fictional.
2025Fall,UG310,Introductory Creativity Workshop,Amira Sol,"Studio C, Room 012",400,1,"Projects 60%, Participation 20%, Final 20%",no,yes,89,85,90,95,65,100,0.62,0.25,0.10,0.02,0.01,Large-enrollment skills course with high grades. Data and details are fictional.
2026Spring,RS501,Advanced Topology Seminar,Gareth M. Kline,"Math Hall, Room 009",12,1,"Presentations 50%, Paper 50%",no,no,50,40,50,58,22,78,0.04,0.20,0.30,0.26,0.20,"Small, discussion-focused seminar with challenging material. All entries are fictional."
2025Winter,ED102,Foundations of Play,Sofia Varela,"Child Dev Ctr, Room 03",10,2,"Attendance 30%, Projects 50%, Final 20%",no,yes,92,88,92,96,78,100,0.70,0.20,0.07,0.02,0.01,Very small course with high grades and hands-on assessments. Synthetic sample data.
2026Fall,CS330,Parallel Algorithms,Ethan Park,"Engineering Bldg, Room 210",120,3,"Project 40%, Midterm 20%, Final 40%",yes,yes,68,60,68,76,20,98,0.18,0.30,0.32,0.12,0.08,Core upper-division course with balanced assessment. Information is fictional.
2025Summer,BI214,Cell Physiology Lab,Nora G. Patel,"Bio Lab, Room 2A",45,2,"Labs 60%, Quizzes 20%, Final 20%",no,yes,74,68,74,80,40,98,0.30,0.35,0.25,0.07,0.03,Laboratory-heavy course with steady performance. Data are fictitious.
2026Winter,MG409,Quantitative Finance,R. K. Omondi,"Finance Ctr, Room 101",250,3,"Midterm 30%, Final 40%, Problem sets 30%",yes,yes,58,50,58,66,12,92,0.09,0.29,0.36,0.18,0.08,Large lecture with quantitative focus. All content is synthetic.
2025Fall,AR101,Intro to Studio Art,Maru Nakatani,"Art Bldg, Room 007",60,2,"Projects 70%, Participation 15%, Final 15%",no,yes,86,82,86,92,70,100,0.51,0.30,0.12,0.05,0.02,Studio course with project-driven grading. Fictional enrollment and stats.
2026Fall,PH230,Electrodynamics,Helga Brenn,"Physics Hall, Room 120",30,3,"Homework 30%, Midterm 30%, Final 40%",yes,yes,63,58,63,70,35,90,0.12,0.34,0.38,0.10,0.06,Upper-division physics with standard exams. Synthetic sample data.
2026Summer,HS205,Global Health Policy,Diego Alvarez,"Humanities, Room 214",18,2,"Essays 50%, Midterm 25%, Final 25%",yes,yes,77,70,77,83,50,98,0.22,0.33,0.30,0.10,0.05,Small seminar-style course with essay assessments. Data are fictional.
2025Fall,UGF201,Abstract Algebra I,Tamsin Qori,"Tower B, Room 110",12,3,"Homeworks 40%, Midterm 30%, Final 30%",yes,yes,52,45,53,60,30,86,0.06,0.18,0.34,0.22,0.20,Fictional course and statistics for a synthetic dataset. Numbers are internally consistent.
2025Fall,QMX350,Quantum Mechanics II,Levon Mirek,"Science Hall, Room 1010",280,3,"Problem sets 30%, Midterm 30%, Final 40%",yes,yes,48,40,50,58,15,92,0.05,0.20,0.30,0.25,0.20,Synthetic entry with fictional instructor and location. Data are invented for testing.
2025Fall,ART101X,Introduction to Pottery,Marlo Finch,"Art Center, Studio 3",320,1,Projects 100%,no,no,89,82,90,95,60,100,0.62,0.25,0.08,0.03,0.02,Fictitious course record used for demonstration. All statistics are synthetic.
2025Fall,HFA210,Contemporary Film Appreciation,Jonas Evert,"Liberal Arts Building, Room 12",8,1,"Participation 60%, Essays 40%",no,yes,91,88,92,95,70,100,0.55,0.30,0.10,0.03,0.02,Synthetic entry representing a small seminar-style class. Figures are fictional.
2025Fall,CMP101X,Introduction to Programming Concepts,Amena Parkash,"Engineering Building, Room 204",120,3,"Labs 40%, Midterm 20%, Final 40%",yes,yes,76,65,75,85,30,99,0.27,0.33,0.25,0.10,0.05,Made-up course metrics for a mid-sized lecture course. Data are not real.
2025Fall,BIO220L,Molecular Biology Lab,Junia Calder,"Bio Wing, Room B12",24,2,"Lab reports 50%, Midterm 20%, Final 30%",yes,yes,81,75,82,88,60,98,0.40,0.35,0.15,0.06,0.04,Fictional lab course entry. All values are synthetic and internally consistent.
2025Fall,ECO305X,Econometrics,Priya Nalav,"Business Tower, Room 509",60,3,"Problem sets 35%, Midterm 30%, Final 35%",yes,yes,69,58,70,78,28,95,0.14,0.28,0.30,0.18,0.10,Synthetic dataset row for an upper-level elective. Figures are fabricated for testing.
2025Fall,PSY150X,Cognitive Psychology,Mika Ren,"Social Sciences, Room 300",250,2,"Quizzes 30%, Midterm 30%, Final 40%",yes,yes,72,65,73,80,40,98,0.20,0.30,0.30,0.12,0.08,Fictional large lecture entry for synthetic use. All numbers are simulated.
2025Fall,ENG404T,Advanced Technical Writing,Sera Holcomb,"Humanities Annex, Room 210",18,2,"Writing portfolio 50%, Final 50%",no,yes,84,78,85,90,60,99,0.48,0.30,0.12,0.06,0.04,Synthetic course information for a small writing-focused class. Data are fictional.
2025Fall,SYN-101,Introduction to Medieval Widgets,Arielle M. Rune,"Tower Hall, Room 101",300,3,"Quizzes 20%, Assignments 30%, Final 50%",no,yes,88,78,89,95,40,100,0.52,0.28,0.12,0.05,0.03,Synthetic entry for a fictional university. Stats are fictional and internally consistent.
2025Fall,QP-420,Advanced Quantum Plumbing,Dr. Horace Pent,"Science Annex, Room 2B",250,2,"HW 20%, Midterm 30%, Final 50%",yes,yes,50,35,48,60,10,88,0.06,0.24,0.35,0.20,0.15,Synthetic entry for a fictional university. Stats are fictional and internally consistent.
2026Spring,BT-S01,Seminar in Speculative Botany,Prof. Linnea Sparrow,"Greenhouse Block, Room G5",12,1,"Participation 50%, Final Essay 50%",no,yes,90,85,91,95,72,100,0.60,0.25,0.10,0.03,0.02,Synthetic entry for a fictional university. Stats are fictional and internally consistent.
2026Spring,RS-799,Independent Study: Recursive Songwriting,K. O. Thales,"Studio Annex, Room S2",8,1,Portfolio 100%,no,no,52,40,53,58,25,76,0.05,0.10,0.40,0.25,0.20,Synthetic entry for a fictional university. Stats are fictional and internally consistent.
2025Fall,CF-210,Computational Folklore,Maya R. Brant,"Main Hall, Room 210",60,2,"Projects 40%, Quizzes 20%, Final 40%",no,yes,72,65,73,80,50,96,0.15,0.35,0.30,0.12,0.08,Synthetic entry for a fictional university. Stats are fictional and internally consistent.
2025Winter,TH-330,Applied Thermodynamics,Elijah K. Sorn,"Engineering Block, Room E3",120,3,"Labs 30%, Midterm 30%, Final 40%",yes,yes,67,58,68,75,35,95,0.18,0.34,0.30,0.12,0.06,Synthetic entry for a fictional university. Stats are fictional and internally consistent.
2025Fall,WM-101,World Mythologies,Sofia D. Laurent,"Auditorium, Room A1",400,1,"Essays 60%, Participation 20%, Final 20%",no,yes,83,75,83,89,50,100,0.48,0.30,0.14,0.05,0.03,Synthetic entry for a fictional university. Stats are fictional and internally consistent.
2026Summer,AL-502,Algebraic Palindromes,Renata F. Qiu,"Mathematics Tower, Room M12",45,2,"Homework 40%, Midterm 30%, Final 30%",yes,yes,61,50,62,70,28,88,0.12,0.28,0.38,0.12,0.10,Synthetic entry for a fictional university. Stats are fictional and internally consistent.
2026Summer,PSY-X12,Introduction to Dream Interpretation,Noam L. Berri,"Humanities Building, Room H8",30,2,"Essays 50%, Quizzes 20%, Final 30%",no,yes,79,70,80,86,55,97,0.22,0.36,0.28,0.10,0.04,Synthetic entry for a fictional university. Stats are fictional and internally consistent.
2025Fall,UG301,Advanced Algorithms,Rina Kovac,"Hall C, Room 401",300,3,"Midterm 25%, Final 45%, Homework 30%",yes,yes,52,40,52,60,10,85,0.05,0.15,0.35,0.25,0.20,Course and stats are fictional. Data is synthetic and for testing purposes.
2026Spring,SM102,Quantum Foundations,Ibrahim Noor,"Laboratory B, Room 12",12,2,"Problem sets 50%, Final 50%",no,yes,50,45,50,55,30,68,0.06,0.20,0.40,0.20,0.14,Small seminar-style course. All entries are fictional and illustrative.
2025Fall,HC410,Intro to Economic Thinking,Patricia Ames,"Lecture Hall Z, Room 101",400,2,"Participation 10%, Midterm 30%, Final 60%",yes,yes,88,86,89,92,70,100,0.55,0.25,0.12,0.05,0.03,Large introductory course with curved grading. This is synthetic data.
2026Fall,AR205,Landscape Painting Studio,Mina Ortega,"Studio East, Room 5",10,1,"Portfolio 70%, Critiques 30%",no,no,92,90,92,96,80,100,0.60,0.25,0.08,0.04,0.03,Studio course with subjective assessment. All entries are fictional.
2025Spring,CS220,Databases and Applications,Liam Crest,"Building D, Room 210",120,3,"Project 40%, Midterm 30%, Final 30%",yes,yes,76,70,76,82,45,96,0.20,0.30,0.30,0.12,0.08,Fictional course statistics for demonstration purposes.
2025Fall,PH301,Statistical Mechanics,Zoe Park,"Science Hall, Room 120",260,3,"Midterm 40%, Final 40%, Homework 20%",yes,yes,65,58,66,72,30,95,0.12,0.28,0.35,0.15,0.10,Large lecture with standardized exams. Data is synthetic.
2026Spring,ED410,Curriculum Theory Seminar,Owen Li,"Education Center, Room 14",14,1,"Presentation 40%, Papers 60%",no,no,71,65,71,77,50,88,0.22,0.35,0.28,0.10,0.05,"Seminar format, small cohort. Synthetic and fictional."
2025Spring,MG150,Principles of Management,Anika Verma,"Business Bldg, Room 305",50,2,"Projects 30%, Midterm 30%, Final 40%",yes,yes,84,78,84,88,60,98,0.42,0.30,0.18,0.06,0.04,Typical core course. Entries are fictional and for testing.
2026Fall,BI220,Cell Biology,Hiro Tan,"Bio Center, Room 210",200,3,"Midterm 35%, Final 45%, Labs 20%",yes,yes,58,50,58,66,20,90,0.10,0.25,0.35,0.18,0.12,Laboratory-heavy course. All data is fictional.
2025Summer,PS330,Research Methods,Elena Rossi,"Building F, Room 33",35,2,"Research paper 60%, Assignments 40%",no,no,69,62,69,75,40,92,0.15,0.32,0.30,0.13,0.10,Summer session course with research emphasis. Synthetic dataset.
